"term","freq","s1","s2","s3","prob"
"put it in",7,"put","it","in",0.145833333333333
"quality of life",7,"quality","of","life",0.318181818181818
"quite a few",7,"quite","a","few",0.142857142857143
"ran out of",7,"ran","out","of",0.777777777777778
"realized that i",7,"realized","that","i",0.194444444444444
"realized that the",7,"realized","that","the",0.194444444444444
"remember when i",7,"remember","when","i",0.411764705882353
"rest in peace",7,"rest","in","peace",0.538461538461538
"right in the",7,"right","in","the",0.35
"right out of",7,"right","out","of",0.777777777777778
"running out of",7,"running","out","of",0.538461538461538
"s to the",7,"s","to","the",0.538461538461538
"said in the",7,"said","in","the",0.21875
"said it would",7,"said","it","would",0.116666666666667
"said that it",7,"said","that","it",0.111111111111111
"same sex marriage",7,"same","sex","marriage",0.583333333333333
"say i love",7,"say","i","love",0.114754098360656
"say the same",7,"say","the","same",0.155555555555556
"searching for a",7,"searching","for","a",0.368421052631579
"see all the",7,"see","all","the",0.636363636363636
"see if they",7,"see","if","they",0.112903225806452
"see on the",7,"see","on","the",0.636363636363636
"see you tonight",7,"see","you","tonight",0.0288065843621399
"send me a",7,"send","me","a",0.205882352941176
"send me your",7,"send","me","your",0.205882352941176
"send you a",7,"send","you","a",0.333333333333333
"share with you",7,"share","with","you",0.291666666666667
"she did not",7,"she","did","not",0.212121212121212
"she has a",7,"she","has","a",0.0843373493975904
"she said that",7,"she","said","that",0.0864197530864197
"she told me",7,"she","told","me",0.636363636363636
"she wanted to",7,"she","wanted","to",0.538461538461538
"she will be",7,"she","will","be",0.304347826086957
"should be interesting",7,"should","be","interesting",0.0272373540856031
"show starts at",7,"show","starts","at",0.875
"show up in",7,"show","up","in",0.25
"sitting in a",7,"sitting","in","a",0.259259259259259
"sitting in the",7,"sitting","in","the",0.259259259259259
"so are you",7,"so","are","you",0.7
"so hard to",7,"so","hard","to",0.205882352941176
"so i can't",7,"so","i","can't",0.0144329896907217
"so i had",7,"so","i","had",0.0144329896907217
"so i think",7,"so","i","think",0.0144329896907217
"so i went",7,"so","i","went",0.0144329896907217
"so i will",7,"so","i","will",0.0144329896907217
"so many great",7,"so","many","great",0.0454545454545455
"so much in",7,"so","much","in",0.0166666666666667
"so that they",7,"so","that","they",0.0583333333333333
"so tired of",7,"so","tired","of",0.212121212121212
"so we have",7,"so","we","have",0.0777777777777778
"so what do",7,"so","what","do",0.142857142857143
"so you know",7,"so","you","know",0.0909090909090909
"someone in the",7,"someone","in","the",0.304347826086957
"sometimes i wish",7,"sometimes","i","wish",0.112903225806452
"soon to be",7,"soon","to","be",0.466666666666667
"sound of the",7,"sound","of","the",0.4375
"spent most of",7,"spent","most","of",1
"staring at me",7,"staring","at","me",0.5
"start of the",7,"start","of","the",0.368421052631579
"still looking for",7,"still","looking","for",0.875
"still trying to",7,"still","trying","to",1
"still waiting for",7,"still","waiting","for",0.583333333333333
"such a big",7,"such","a","big",0.0316742081447964
"such a long",7,"such","a","long",0.0316742081447964
"sure that i",7,"sure","that","i",0.233333333333333
"sure you are",7,"sure","you","are",0.132075471698113
"taking care of",7,"taking","care","of",0.875
"team in the",7,"team","in","the",0.388888888888889
"tell you all",7,"tell","you","all",0.0630630630630631
"tell you i",7,"tell","you","i",0.0630630630630631
"tens of thousands",7,"tens","of","thousands",0.875
"th of july",7,"th","of","july",0.388888888888889
"than anything else",7,"than","anything","else",0.411764705882353
"thanks a lot",7,"thanks","a","lot",0.583333333333333
"thanks again for",7,"thanks","again","for",0.7
"thanks for being",7,"thanks","for","being",0.0106707317073171
"thanks for helping",7,"thanks","for","helping",0.0106707317073171
"thanks to and",7,"thanks","to","and",0.0451612903225806
"thanks to for",7,"thanks","to","for",0.0451612903225806
"that's a big",7,"that's","a","big",0.102941176470588
"that's all i",7,"that's","all","i",0.35
"that's the best",7,"that's","the","best",0.12962962962963
"that all of",7,"that","all","of",0.14
"that and the",7,"that","and","the",0.175
"that as a",7,"that","as","a",0.28
"that day and",7,"that","day","and",0.159090909090909
"that even though",7,"that","even","though",0.225806451612903
"that god is",7,"that","god","is",0.241379310344828
"that had been",7,"that","had","been",0.259259259259259
"that has a",7,"that","has","a",0.0843373493975904
"that he did",7,"that","he","did",0.0357142857142857
"that i thought",7,"that","i","thought",0.00939597315436242
"that im not",7,"that","im","not",0.21875
"that is so",7,"that","is","so",0.0178571428571429
"that is where",7,"that","is","where",0.0178571428571429
"that it has",7,"that","it","has",0.0305676855895196
"that most of",7,"that","most","of",0.28
"that the only",7,"that","the","only",0.0133843212237094
"that they were",7,"that","they","were",0.0362694300518135
"that was not",7,"that","was","not",0.025089605734767
"that we had",7,"that","we","had",0.0360824742268041
"that would make",7,"that","would","make",0.0679611650485437
"that you dont",7,"that","you","dont",0.0278884462151394
"the act of",7,"the","act","of",0.583333333333333
"the answer to",7,"the","answer","to",0.205882352941176
"the basis of",7,"the","basis","of",0.7
"the benefits of",7,"the","benefits","of",0.777777777777778
"the best time",7,"the","best","time",0.0140845070422535
"the big one",7,"the","big","one",0.0619469026548673
"the book i",7,"the","book","i",0.0457516339869281
"the day of",7,"the","day","of",0.0246478873239437
"the decision to",7,"the","decision","to",0.466666666666667
"the door to",7,"the","door","to",0.0853658536585366
"the earth and",7,"the","earth","and",0.233333333333333
"the effects of",7,"the","effects","of",0.7
"the eyes of",7,"the","eyes","of",0.5
"the family and",7,"the","family","and",0.107692307692308
"the first book",7,"the","first","book",0.0130841121495327
"the ground and",7,"the","ground","and",0.142857142857143
"the hands of",7,"the","hands","of",0.7
"the hard work",7,"the","hard","work",0.368421052631579
"the head of",7,"the","head","of",0.25
"the hell is",7,"the","hell","is",0.148936170212766
"the internet and",7,"the","internet","and",0.148936170212766
"the kids to",7,"the","kids","to",0.0853658536585366
"the land of",7,"the","land","of",0.25
"the last thing",7,"the","last","thing",0.0252707581227437
"the last week",7,"the","last","week",0.0252707581227437
"the last year",7,"the","last","year",0.0252707581227437
"the least of",7,"the","least","of",0.25
"the light of",7,"the","light","of",0.241379310344828
"the lines of",7,"the","lines","of",0.4375
"the location of",7,"the","location","of",0.5
"the love of",7,"the","love","of",0.184210526315789
"the mind of",7,"the","mind","of",0.333333333333333
"the morning and",7,"the","morning","and",0.1
"the needs of",7,"the","needs","of",0.875
"the one in",7,"the","one","in",0.048951048951049
"the ones who",7,"the","ones","who",0.184210526315789
"the only place",7,"the","only","place",0.0294117647058824
"the opening of",7,"the","opening","of",0.368421052631579
"the order of",7,"the","order","of",0.388888888888889
"the pain of",7,"the","pain","of",0.212121212121212
"the part of",7,"the","part","of",0.583333333333333
"the past couple",7,"the","past","couple",0.0492957746478873
"the people i",7,"the","people","i",0.0569105691056911
"the people of",7,"the","people","of",0.0569105691056911
"the problem of",7,"the","problem","of",0.170731707317073
"the range of",7,"the","range","of",0.538461538461538
"the reason i",7,"the","reason","i",0.175
"the risk of",7,"the","risk","of",0.583333333333333
"the same day",7,"the","same","day",0.0133587786259542
"the season and",7,"the","season","and",0.104477611940299
"the secret of",7,"the","secret","of",0.304347826086957
"the sight of",7,"the","sight","of",0.7
"the son of",7,"the","son","of",0.5
"the street to",7,"the","street","to",0.132075471698113
"the tea party",7,"the","tea","party",0.368421052631579
"the th of",7,"the","th","of",0.0636363636363636
"the time he",7,"the","time","he",0.0243055555555556
"the time they",7,"the","time","they",0.0243055555555556
"the top and",7,"the","top","and",0.05
"the us and",7,"the","us","and",0.0729166666666667
"the value of",7,"the","value","of",0.5
"the way he",7,"the","way","he",0.0214723926380368
"the way in",7,"the","way","in",0.0214723926380368
"the west coast",7,"the","west","coast",0.159090909090909
"the white house",7,"the","white","house",0.212121212121212
"the whole time",7,"the","whole","time",0.0538461538461538
"the world a",7,"the","world","a",0.0175438596491228
"the world in",7,"the","world","in",0.0175438596491228
"the wrong way",7,"the","wrong","way",0.184210526315789
"them and i",7,"them","and","i",0.0897435897435897
"then i realized",7,"then","i","realized",0.0603448275862069
"there can be",7,"there","can","be",0.777777777777778
"there is to",7,"there","is","to",0.0164705882352941
"there it is",7,"there","it","is",0.466666666666667
"there should be",7,"there","should","be",1
"there to be",7,"there","to","be",0.142857142857143
"there was nothing",7,"there","was","nothing",0.0343137254901961
"there were a",7,"there","were","a",0.0795454545454545
"there were no",7,"there","were","no",0.0795454545454545
"there you have",7,"there","you","have",0.388888888888889
"these days i",7,"these","days","i",0.137254901960784
"they are in",7,"they","are","in",0.0155555555555556
"they can be",7,"they","can","be",0.0921052631578947
"they can get",7,"they","can","get",0.0921052631578947
"they do not",7,"they","do","not",0.127272727272727
"they have been",7,"they","have","been",0.0378378378378378
"things are going",7,"things","are","going",0.142857142857143
"think he is",7,"think","he","is",0.269230769230769
"think i am",7,"think","i","am",0.0526315789473684
"think it's a",7,"think","it's","a",0.12962962962963
"think that i",7,"think","that","i",0.0769230769230769
"think we can",7,"think","we","can",0.152173913043478
"thinking about the",7,"thinking","about","the",0.0823529411764706
"this is something",7,"this","is","something",0.0101302460202605
"this past weekend",7,"this","past","weekend",0.35
"this post is",7,"this","post","is",0.116666666666667
"this should be",7,"this","should","be",0.583333333333333
"this stuff is",7,"this","stuff","is",0.368421052631579
"this was not",7,"this","was","not",0.0583333333333333
"this weekend i",7,"this","weekend","i",0.0486111111111111
"this year and",7,"this","year","and",0.037037037037037
"this year i",7,"this","year","i",0.037037037037037
"those of us",7,"those","of","us",0.212121212121212
"though it was",7,"though","it","was",0.304347826086957
"thought about it",7,"thought","about","it",0.241379310344828
"thought they were",7,"thought","they","were",0.5
"through to the",7,"through","to","the",0.538461538461538
"tickets to the",7,"tickets","to","the",0.318181818181818
"time i see",7,"time","i","see",0.0451612903225806
"time on the",7,"time","on","the",0.212121212121212
"times a week",7,"times","a","week",0.212121212121212
"to admit i",7,"to","admit","i",0.21875
"to admit that",7,"to","admit","that",0.21875
"to ask for",7,"to","ask","for",0.112903225806452
"to attend the",7,"to","attend","the",0.184210526315789
"to be about",7,"to","be","about",0.00380641653072322
"to be doing",7,"to","be","doing",0.00380641653072322
"to be great",7,"to","be","great",0.00380641653072322
"to be happy",7,"to","be","happy",0.00380641653072322
"to be i",7,"to","be","i",0.00380641653072322
"to be seen",7,"to","be","seen",0.00380641653072322
"to be sure",7,"to","be","sure",0.00380641653072322
"to be this",7,"to","be","this",0.00380641653072322
"to be up",7,"to","be","up",0.00380641653072322
"to beat the",7,"to","beat","the",0.35
"to break the",7,"to","break","the",0.212121212121212
"to buy it",7,"to","buy","it",0.0853658536585366
"to check it",7,"to","check","it",0.0909090909090909
"to come in",7,"to","come","in",0.0411764705882353
"to connect the",7,"to","connect","the",0.194444444444444
"to create the",7,"to","create","the",0.0833333333333333
"to create this",7,"to","create","this",0.0833333333333333
"to do list",7,"to","do","list",0.00937081659973226
"to do to",7,"to","do","to",0.00937081659973226
"to do today",7,"to","do","today",0.00937081659973226
"to do when",7,"to","do","when",0.00937081659973226
"to explain why",7,"to","explain","why",0.225806451612903
"to figure it",7,"to","figure","it",0.159090909090909
"to find it",7,"to","find","it",0.0357142857142857
"to find that",7,"to","find","that",0.0357142857142857
"to get an",7,"to","get","an",0.00866336633663366
"to get more",7,"to","get","more",0.00866336633663366
"to go see",7,"to","go","see",0.0149253731343284
"to go through",7,"to","go","through",0.0149253731343284
"to have them",7,"to","have","them",0.0164319248826291
"to hear more",7,"to","hear","more",0.0479452054794521
"to hear the",7,"to","hear","the",0.0479452054794521
"to help with",7,"to","help","with",0.0432098765432099
"to hit the",7,"to","hit","the",0.179487179487179
