"term","freq","s1","s2","s3","prob"
"i just really",9,"i","just","really",0.00431034482758621
"i just tweeted",9,"i","just","tweeted",0.00431034482758621
"i keep hearing",9,"i","keep","hearing",0.0584415584415584
"i knew she",9,"i","knew","she",0.0227848101265823
"i know so",9,"i","know","so",0.00451580531861515
"i know someone",9,"i","know","someone",0.00451580531861515
"i know to",9,"i","know","to",0.00451580531861515
"i know when",9,"i","know","when",0.00451580531861515
"i liked that",9,"i","liked","that",0.0756302521008403
"i look back",9,"i","look","back",0.0382978723404255
"i lost a",9,"i","lost","a",0.113924050632911
"i made sure",9,"i","made","sure",0.0206422018348624
"i made up",9,"i","made","up",0.0206422018348624
"i make sure",9,"i","make","sure",0.0625
"i mean the",9,"i","mean","the",0.0218978102189781
"i mention this",9,"i","mention","this",0.176470588235294
"i miss him",9,"i","miss","him",0.0179282868525896
"i miss this",9,"i","miss","this",0.0179282868525896
"i missed your",9,"i","missed","your",0.0596026490066225
"i need him",9,"i","need","him",0.00743801652892562
"i need something",9,"i","need","something",0.00743801652892562
"i noticed a",9,"i","noticed","a",0.12
"i pay for",9,"i","pay","for",0.45
"i posted a",9,"i","posted","a",0.176470588235294
"i probably should",9,"i","probably","should",0.163636363636364
"i really thought",9,"i","really","thought",0.0104408352668213
"i received an",9,"i","received","an",0.116883116883117
"i sat there",9,"i","sat","there",0.138461538461538
"i saw an",9,"i","saw","an",0.0174418604651163
"i saw on",9,"i","saw","on",0.0174418604651163
"i say more",9,"i","say","more",0.027190332326284
"i say the",9,"i","say","the",0.027190332326284
"i should do",9,"i","should","do",0.0176470588235294
"i should say",9,"i","should","say",0.0176470588235294
"i started out",9,"i","started","out",0.0333333333333333
"i still believe",9,"i","still","believe",0.0169811320754717
"i swear to",9,"i","swear","to",0.0538922155688623
"i talked to",9,"i","talked","to",0.321428571428571
"i thank you",9,"i","thank","you",0.290322580645161
"i think and",9,"i","think","and",0.00319829424307036
"i think because",9,"i","think","because",0.00319829424307036
"i took this",9,"i","took","this",0.0293159609120521
"i used some",9,"i","used","some",0.0207852193995381
"i walked out",9,"i","walked","out",0.134328358208955
"i want an",9,"i","want","an",0.00595238095238095
"i want and",9,"i","want","and",0.00595238095238095
"i want for",9,"i","want","for",0.00595238095238095
"i want i",9,"i","want","i",0.00595238095238095
"i was alone",9,"i","was","alone",0.00199600798403194
"i was coming",9,"i","was","coming",0.00199600798403194
"i was driving",9,"i","was","driving",0.00199600798403194
"i was first",9,"i","was","first",0.00199600798403194
"i was left",9,"i","was","left",0.00199600798403194
"i was lucky",9,"i","was","lucky",0.00199600798403194
"i was saying",9,"i","was","saying",0.00199600798403194
"i was years",9,"i","was","years",0.00199600798403194
"i wasnt sure",9,"i","wasnt","sure",0.0865384615384615
"i went home",9,"i","went","home",0.0195652173913043
"i will forever",9,"i","will","forever",0.00510493477027794
"i will leave",9,"i","will","leave",0.00510493477027794
"i will look",9,"i","will","look",0.00510493477027794
"i will need",9,"i","will","need",0.00510493477027794
"i will show",9,"i","will","show",0.00510493477027794
"i will work",9,"i","will","work",0.00510493477027794
"i wish the",9,"i","wish","the",0.0134328358208955
"i wish there",9,"i","wish","there",0.0134328358208955
"i wish they",9,"i","wish","they",0.0134328358208955
"i won't have",9,"i","won't","have",0.0526315789473684
"i would hope",9,"i","would","hope",0.00538277511961723
"i would make",9,"i","would","make",0.00538277511961723
"i would still",9,"i","would","still",0.00538277511961723
"i would suggest",9,"i","would","suggest",0.00538277511961723
"i would think",9,"i","would","think",0.00538277511961723
"i would try",9,"i","would","try",0.00538277511961723
"i would want",9,"i","would","want",0.00538277511961723
"i wrote this",9,"i","wrote","this",0.0638297872340425
"ice cream cake",9,"ice","cream","cake",0.0436893203883495
"icing on the",9,"icing","on","the",0.818181818181818
"idea of how",9,"idea","of","how",0.04
"idea was to",9,"idea","was","to",0.428571428571429
"ides of march",9,"ides","of","march",1
"if he did",9,"if","he","did",0.0254237288135593
"if he gets",9,"if","he","gets",0.0254237288135593
"if he would",9,"if","he","would",0.0254237288135593
"if i hadn't",9,"if","i","hadn't",0.00594844679444812
"if i know",9,"if","i","know",0.00594844679444812
"if i really",9,"if","i","really",0.00594844679444812
"if i told",9,"if","i","told",0.00594844679444812
"if it did",9,"if","it","did",0.0170777988614801
"if it has",9,"if","it","has",0.0170777988614801
"if it works",9,"if","it","works",0.0170777988614801
"if not i",9,"if","not","i",0.0517241379310345
"if not the",9,"if","not","the",0.0517241379310345
"if only you",9,"if","only","you",0.0697674418604651
"if she has",9,"if","she","has",0.0452261306532663
"if thats the",9,"if","thats","the",0.375
"if they make",9,"if","they","make",0.015929203539823
"if u dont",9,"if","u","dont",0.0327272727272727
"if you're an",9,"if","you're","an",0.0232558139534884
"if you already",9,"if","you","already",0.00234131113423517
"if you cannot",9,"if","you","cannot",0.00234131113423517
"if you care",9,"if","you","care",0.00234131113423517
"if you enjoy",9,"if","you","enjoy",0.00234131113423517
"if you missed",9,"if","you","missed",0.00234131113423517
"if you prefer",9,"if","you","prefer",0.00234131113423517
"if youd like",9,"if","youd","like",0.9
"if your a",9,"if","your","a",0.0379746835443038
"if youre not",9,"if","youre","not",0.0789473684210526
"ill try to",9,"ill","try","to",0.642857142857143
"illinois incorporated in",9,"illinois","incorporated","in",1
"im a big",9,"im","a","big",0.0489130434782609
"im in love",9,"im","in","love",0.134328358208955
"im just going",9,"im","just","going",0.09375
"im looking forward",9,"im","looking","forward",0.333333333333333
"im so tired",9,"im","so","tired",0.0666666666666667
"im such a",9,"im","such","a",0.9
"im sure there",9,"im","sure","there",0.0927835051546392
"important to be",9,"important","to","be",0.0523255813953488
"important to have",9,"important","to","have",0.0523255813953488
"important to you",9,"important","to","you",0.0523255813953488
"in a bar",9,"in","a","bar",0.00205338809034908
"in a beautiful",9,"in","a","beautiful",0.00205338809034908
"in a blender",9,"in","a","blender",0.00205338809034908
"in a free",9,"in","a","free",0.00205338809034908
"in a hole",9,"in","a","hole",0.00205338809034908
"in a huge",9,"in","a","huge",0.00205338809034908
"in a letter",9,"in","a","letter",0.00205338809034908
"in a movie",9,"in","a","movie",0.00205338809034908
"in a positive",9,"in","a","positive",0.00205338809034908
"in a restaurant",9,"in","a","restaurant",0.00205338809034908
"in a safe",9,"in","a","safe",0.00205338809034908
"in a tweet",9,"in","a","tweet",0.00205338809034908
"in advance for",9,"in","advance","for",0.128571428571429
"in and see",9,"in","and","see",0.0160427807486631
"in and was",9,"in","and","was",0.0160427807486631
"in anticipation of",9,"in","anticipation","of",0.9
"in as a",9,"in","as","a",0.142857142857143
"in back to",9,"in","back","to",0.428571428571429
"in case the",9,"in","case","the",0.0529411764705882
"in college and",9,"in","college","and",0.115384615384615
"in college i",9,"in","college","i",0.115384615384615
"in fact a",9,"in","fact","a",0.0219512195121951
"in fact this",9,"in","fact","this",0.0219512195121951
"in full effect",9,"in","full","effect",0.125
"in general and",9,"in","general","and",0.0909090909090909
"in half and",9,"in","half","and",0.209302325581395
"in her eyes",9,"in","her","eyes",0.0225
"in his hand",9,"in","his","hand",0.0126404494382022
"in just one",9,"in","just","one",0.102272727272727
"in line at",9,"in","line","at",0.113924050632911
"in my back",9,"in","my","back",0.00370218017276841
"in my bedroom",9,"in","my","bedroom",0.00370218017276841
"in my hair",9,"in","my","hair",0.00370218017276841
"in my living",9,"in","my","living",0.00370218017276841
"in my throat",9,"in","my","throat",0.00370218017276841
"in my top",9,"in","my","top",0.00370218017276841
"in my view",9,"in","my","view",0.00370218017276841
"in other ways",9,"in","other","ways",0.0454545454545455
"in our family",9,"in","our","family",0.0126939351198872
"in palo alto",9,"in","palo","alto",1
"in place for",9,"in","place","for",0.0865384615384615
"in that area",9,"in","that","area",0.0183673469387755
"in that regard",9,"in","that","regard",0.0183673469387755
"in that respect",9,"in","that","respect",0.0183673469387755
"in that room",9,"in","that","room",0.0183673469387755
"in that the",9,"in","that","the",0.0183673469387755
"in the aftermath",9,"in","the","aftermath",0.000607943798973251
"in the band",9,"in","the","band",0.000607943798973251
"in the battle",9,"in","the","battle",0.000607943798973251
"in the bedroom",9,"in","the","bedroom",0.000607943798973251
"in the bottle",9,"in","the","bottle",0.000607943798973251
"in the british",9,"in","the","british",0.000607943798973251
"in the clouds",9,"in","the","clouds",0.000607943798973251
"in the conversation",9,"in","the","conversation",0.000607943798973251
"in the digital",9,"in","the","digital",0.000607943798973251
"in the english",9,"in","the","english",0.000607943798973251
"in the fight",9,"in","the","fight",0.000607943798973251
"in the forest",9,"in","the","forest",0.000607943798973251
"in the group",9,"in","the","group",0.000607943798973251
"in the hall",9,"in","the","hall",0.000607943798973251
"in the hallway",9,"in","the","hallway",0.000607943798973251
"in the mall",9,"in","the","mall",0.000607943798973251
"in the military",9,"in","the","military",0.000607943798973251
"in the northeast",9,"in","the","northeast",0.000607943798973251
"in the opening",9,"in","the","opening",0.000607943798973251
"in the pouring",9,"in","the","pouring",0.000607943798973251
"in the pub",9,"in","the","pub",0.000607943798973251
"in the rest",9,"in","the","rest",0.000607943798973251
"in the short",9,"in","the","short",0.000607943798973251
"in the trees",9,"in","the","trees",0.000607943798973251
"in the upper",9,"in","the","upper",0.000607943798973251
"in the village",9,"in","the","village",0.000607943798973251
"in the word",9,"in","the","word",0.000607943798973251
"in the workplace",9,"in","the","workplace",0.000607943798973251
"in their life",9,"in","their","life",0.0167597765363128
"in this place",9,"in","this","place",0.00766609880749574
"in this regard",9,"in","this","regard",0.00766609880749574
"in this time",9,"in","this","time",0.00766609880749574
"in to work",9,"in","to","work",0.0339622641509434
"in what is",9,"in","what","is",0.0918367346938776
"in which she",9,"in","which","she",0.0255681818181818
"in years and",9,"in","years","and",0.0849056603773585
"in your room",9,"in","your","room",0.0103329506314581
"inches of snow",9,"inches","of","snow",0.473684210526316
"integral part of",9,"integral","part","of",1
"interested in doing",9,"interested","in","doing",0.027190332326284
"into the night",9,"into","the","night",0.00632466619817287
"into the same",9,"into","the","same",0.00632466619817287
"into the top",9,"into","the","top",0.00632466619817287
"into the woods",9,"into","the","woods",0.00632466619817287
"into your life",9,"into","your","life",0.087378640776699
"is a choice",9,"is","a","choice",0.00196592398427261
"is a constant",9,"is","a","constant",0.00196592398427261
"is a day",9,"is","a","day",0.00196592398427261
"is a full",9,"is","a","full",0.00196592398427261
"is a fun",9,"is","a","fun",0.00196592398427261
"is a game",9,"is","a","game",0.00196592398427261
"is a kind",9,"is","a","kind",0.00196592398427261
"is a small",9,"is","a","small",0.00196592398427261
"is a top",9,"is","a","top",0.00196592398427261
"is a tough",9,"is","a","tough",0.00196592398427261
"is a work",9,"is","a","work",0.00196592398427261
"is also an",9,"is","also","an",0.0265486725663717
"is always good",9,"is","always","good",0.039647577092511
"is amazing and",9,"is","amazing","and",0.0604026845637584
"is and how",9,"is","and","how",0.076271186440678
"is anything but",9,"is","anything","but",0.428571428571429
"is around the",9,"is","around","the",0.5625
"is as good",9,"is","as","good",0.0731707317073171
"is beginning to",9,"is","beginning","to",0.5625
"is being held",9,"is","being","held",0.0478723404255319
"is believed to",9,"is","believed","to",0.818181818181818
"is best for",9,"is","best","for",0.195652173913043
"is beyond me",9,"is","beyond","me",0.428571428571429
"is bigger than",9,"is","bigger","than",0.692307692307692
"is but it",9,"is","but","it",0.123287671232877
"is done in",9,"is","done","in",0.09375
"is essentially a",9,"is","essentially","a",0.5625
"is even more",9,"is","even","more",0.18
"is here in",9,"is","here","in",0.0714285714285714
"is how we",9,"is","how","we",0.0517241379310345
